Epoch: 1
ISTJ: P=0.0, R=0.0, F1=0.0
ISFJ: P=0.0, R=0.0, F1=0.0
INFJ: P=0.4857142857142857, R=0.551948051948052, F1=0.5167173252279635
INTJ: P=0.49523809523809526, R=0.4727272727272727, F1=0.48372093023255813
ISTP: P=0.0, R=0.0, F1=0.0
ISFP: P=0.0, R=0.0, F1=0.0
INFP: P=0.42058823529411765, R=0.7814207650273224, F1=0.5468451242829828
INTP: P=0.3382352941176471, R=0.3898305084745763, F1=0.36220472440944884
ESTP: P=0.0, R=0.0, F1=0.0
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.4520547945205479, R=0.4714285714285714, F1=0.4615384615384615
ENTP: P=0.7368421052631579, R=0.35, F1=0.47457627118644063
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.0, R=0.0, F1=0.0
ENTJ: P=0.0, R=0.0, F1=0.0

Epoch: 2
ISTJ: P=0.3333333333333333, R=0.25, F1=0.28571428571428575
ISFJ: P=0.75, R=0.1875, F1=0.3
INFJ: P=0.575, R=0.5974025974025974, F1=0.5859872611464968
INTJ: P=0.56, R=0.6363636363636364, F1=0.5957446808510639
ISTP: P=0.6785714285714286, R=0.4634146341463415, F1=0.5507246376811594
ISFP: P=0.0, R=0.0, F1=0.0
INFP: P=0.6066350710900474, R=0.6994535519125683, F1=0.6497461928934011
INTP: P=0.40641711229946526, R=0.6440677966101694, F1=0.4983606557377049
ESTP: P=0.0, R=0.0, F1=0.0
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.6101694915254238, R=0.5142857142857142, F1=0.5581395348837208
ENTP: P=0.5657894736842105, R=0.5375, F1=0.5512820512820513
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=1.0, R=0.2, F1=0.33333333333333337
ENTJ: P=0.5, R=0.041666666666666664, F1=0.07692307692307693

Epoch: 3
ISTJ: P=0.375, R=0.375, F1=0.375
ISFJ: P=0.7272727272727273, R=0.5, F1=0.5925925925925926
INFJ: P=0.6982758620689655, R=0.525974025974026, F1=0.6000000000000001
INTJ: P=0.6173913043478261, R=0.6454545454545455, F1=0.6311111111111112
ISTP: P=0.7096774193548387, R=0.5365853658536586, F1=0.6111111111111112
ISFP: P=0.7142857142857143, R=0.20833333333333334, F1=0.3225806451612903
INFP: P=0.5321428571428571, R=0.8142076502732241, F1=0.6436285097192225
INTP: P=0.5223880597014925, R=0.5932203389830508, F1=0.5555555555555555
ESTP: P=1.0, R=0.25, F1=0.4
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.6231884057971014, R=0.6142857142857143, F1=0.618705035971223
ENTP: P=0.7213114754098361, R=0.55, F1=0.624113475177305
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.5833333333333334, R=0.4666666666666667, F1=0.5185185185185186
ENTJ: P=0.6428571428571429, R=0.375, F1=0.4736842105263159

Epoch: 4
ISTJ: P=0.46153846153846156, R=0.375, F1=0.41379310344827586
ISFJ: P=0.5882352941176471, R=0.625, F1=0.6060606060606061
INFJ: P=0.5844155844155844, R=0.5844155844155844, F1=0.5844155844155844
INTJ: P=0.47093023255813954, R=0.7363636363636363, F1=0.574468085106383
ISTP: P=0.7586206896551724, R=0.5365853658536586, F1=0.6285714285714286
ISFP: P=0.6470588235294118, R=0.4583333333333333, F1=0.5365853658536585
INFP: P=0.7450980392156863, R=0.6229508196721312, F1=0.6785714285714286
INTP: P=0.6444444444444445, R=0.4915254237288136, F1=0.5576923076923077
ESTP: P=0.5, R=0.25, F1=0.3333333333333333
ESFP: P=0.0, R=0.0, F1=0.0
ENFP: P=0.4672897196261682, R=0.7142857142857143, F1=0.5649717514124294
ENTP: P=0.6447368421052632, R=0.6125, F1=0.6282051282051283
ESTJ: P=0.0, R=0.0, F1=0.0
ESFJ: P=0.0, R=0.0, F1=0.0
ENFJ: P=0.5333333333333333, R=0.5333333333333333, F1=0.5333333333333333
ENTJ: P=0.5714285714285714, R=0.5, F1=0.5333333333333333

